Domain,Have_IP,Lengthy_URL,Domain_http,TinyURL,Prefix/Suffix,Label,@,?,-,=,.,#,%,+,$,!,*,",",//
himado.in,0,1,0,0,0,0,0,1,0,3,1,0,12,0,0,0,0,0,1
codepen.io,0,1,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,1
qz.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
syosetu.com,0,1,0,0,0,0,0,1,0,6,2,0,3,0,0,0,0,0,1
skyrock.com,0,1,0,0,0,0,0,1,6,2,2,0,0,0,0,0,0,0,1
hootsuite.com,0,1,0,0,0,0,0,0,1,0,1,0,24,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
clien.net,0,1,0,0,0,0,0,1,0,2,2,0,14,0,0,0,0,0,1
clien.net,0,1,0,0,0,0,0,1,0,1,3,0,5,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,3,0,1,0,32,0,0,0,0,0,1
digg.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
slashdot.org,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
tobogo.net,0,1,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,1
interpark.com,0,1,0,0,0,0,0,1,0,3,2,0,24,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
taboola.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,12,0,1,0,116,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,8,5,2,0,2,0,0,0,0,0,1
superuser.com,0,1,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,1
zozo.jp,0,1,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1
1337x.to,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
espn.go.com,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,1
katproxy.com,0,1,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
superuser.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
allrecipes.com,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,6,0,1,0,60,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
hubpages.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,4,0,1,0,42,0,0,0,0,0,1
bestblackhatforum.com,0,1,0,0,0,0,0,1,9,1,1,0,3,0,0,0,0,0,1
perezhilton.com,0,1,0,0,0,0,0,1,11,1,1,0,0,0,0,0,0,0,1
sfglobe.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
searchengineland.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
elitedaily.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
nesn.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
persianblog.ir,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1
myspace.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,9,0,1,0,72,0,0,0,0,0,1
maybank2u.com.my,0,1,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,1
metro.co.uk,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
ap.org,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
xhamster.com,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1
mashable.com,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
mediaset.it,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1
pornsharing.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
aljazeera.net,0,1,0,0,0,0,0,0,6,0,1,0,76,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,11,2,2,0,5,11,0,0,0,0,1
cox.com,0,1,0,1,0,0,0,1,4,1,2,0,0,0,0,0,0,0,1
vnexpress.net,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
ap.org,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
olx.ro,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
tobogo.net,0,1,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
katproxy.com,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1
olx.ua,0,1,0,0,0,0,0,1,1,1,1,0,18,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,1,2,1,0,5,8,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,1,6,1,3,0,2,0,0,0,0,0,1
ecnavi.jp,0,1,0,0,0,0,0,2,2,2,6,0,2,0,0,0,0,0,2
mic.com,0,1,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
paytm.com,0,1,0,0,0,0,0,1,13,1,1,0,0,0,0,0,0,0,1
bongda88.info,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,1
pornsharing.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
allrecipes.com,0,1,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,8,0,1,0,62,0,0,0,0,0,1
udn.com,0,1,0,0,0,0,0,0,1,0,1,0,42,0,0,0,0,0,1
conservativetribune.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
bigcinema.tv,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1
taboola.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
medium.com,0,1,0,0,0,0,1,1,10,1,1,0,0,0,0,0,0,0,1
buzzfil.net,0,1,0,0,0,0,0,1,12,1,2,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1
kotaku.com,0,1,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1
khabaronline.ir,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
olx.co.id,0,1,0,1,0,0,0,1,1,3,2,0,2,0,0,0,0,0,1
mylust.com,0,1,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,1
xvideo-jp.com,0,1,0,0,1,0,0,0,1,0,1,0,15,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,59,5,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,1,0,2,0,6,12,0,0,0,0,1
buzzfil.net,0,1,0,0,0,0,0,1,12,1,2,0,0,0,0,0,0,0,1
tobogo.net,0,1,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,1
olx.pl,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
yourlust.com,0,1,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,1,0,4,0,4,6,0,0,0,0,1
mylust.com,0,1,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
thechive.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1
thechive.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
udn.com,0,1,0,0,0,0,0,0,2,0,1,0,45,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
io9.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
ap.org,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
syosetu.com,0,1,0,0,0,0,0,1,0,6,2,0,3,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,8,9,2,0,0,3,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
kakaku.com,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,6,4,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1
motherless.com,0,1,0,0,0,0,0,1,0,1,2,0,11,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,6,0,1,0,76,0,0,0,0,0,1
codecanyon.net,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
onedio.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
olx.ro,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,1
fazenda.gov.br,0,1,0,0,0,0,0,1,8,1,7,0,0,0,0,0,0,0,1
olx.co.id,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1
giphy.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
skyrock.com,0,1,0,0,0,0,0,1,5,2,2,0,0,0,0,0,0,0,1
stackoverflow.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
tinnhanh360.net,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1
qz.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
sfglobe.com,0,1,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,1
jezebel.com,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,6,0,1,0,66,0,0,0,0,0,1
akhbarelyom.com,0,1,0,0,0,0,0,0,1,0,2,0,22,0,0,0,0,0,1
espn.go.com,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1
nesn.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
cheezburger.com,0,1,0,0,0,0,0,1,6,2,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,1
pornsharing.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,3,0,1,0,32,0,0,0,0,0,1
metro.co.uk,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
nymag.com,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
dantri.com.vn,0,1,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,1
lifehacker.com,0,1,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1
livetv.sx,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
pitchfork.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
ecnavi.jp,0,1,0,0,0,0,0,1,2,1,3,0,2,0,0,0,0,0,2
kenh14.vn,0,1,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1
allrecipes.com,0,1,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,1
searchengineland.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
getpocket.com,0,1,0,1,0,0,0,1,1,3,2,0,0,0,0,0,0,0,2
emgn.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
ringring.vn,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
nguyentandung.org,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
slashdot.org,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
olx.ro,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
ap.org,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
otomoto.pl,0,1,0,0,0,0,0,1,3,1,1,0,4,0,0,0,0,0,1
elitedaily.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
skyrock.com,0,1,0,0,0,0,0,1,12,4,2,0,0,0,0,0,0,0,1
diply.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
lifehacker.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
torrentdn.com,0,1,0,0,0,0,0,1,0,4,2,0,9,0,0,0,0,0,1
katproxy.com,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
fanpage.gr,0,1,0,0,0,0,0,0,7,0,1,0,64,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1
caixa.gov.br,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
hollywoodlife.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
serverfault.com,0,1,0,1,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
rt.com,0,1,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
thechive.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
askubuntu.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
arstechnica.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
interpark.com,0,1,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,1
xhamster.com,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
elevenia.co.id,0,1,0,0,0,0,0,1,0,2,4,0,5,0,0,0,0,0,1
hubpages.com,0,1,0,0,0,0,0,1,11,2,1,0,2,1,0,0,0,0,1
grantland.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,6,0,1,0,54,0,0,0,0,0,1
persianblog.ir,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,1,1,11,1,0,3,0,0,0,0,0,1
fanpage.gr,0,1,0,0,0,0,0,0,5,0,1,0,64,0,0,0,0,0,1
otomoto.pl,0,1,0,0,0,0,0,1,3,1,1,0,4,0,0,0,0,0,1
searchengineland.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
oneplus.net,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
jezebel.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
steamcommunity.com,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1
aljazeera.net,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
askubuntu.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
variety.com,0,1,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1
ink361.com,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
elitedaily.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
hubpages.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
couchtuner.eu.com,0,1,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,1,1,3,2,0,6,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,1
bestblackhatforum.com,0,1,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,1
udn.com,0,1,0,0,0,0,0,0,2,0,1,0,36,0,0,0,0,0,1
tinnhanh360.net,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
bluegape.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
kickass.to,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
kickass.to,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,1,8,3,2,0,7,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
irecommend.ru,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
persianblog.ir,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1
pikabu.ru,0,1,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,1,6,1,3,0,2,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,1
onedio.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
cox.com,0,1,0,1,0,0,0,1,6,1,2,0,0,0,0,0,0,0,1
olx.co.id,0,1,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
smallseotools.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
torrentdn.com,0,1,0,0,0,0,0,1,0,4,2,0,12,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
aljazeera.net,0,1,0,0,0,0,0,0,6,0,1,0,86,0,0,0,0,0,1
perezhilton.com,0,1,0,0,0,0,0,1,10,1,1,0,0,0,0,0,0,0,1
hubpages.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
stackoverflow.com,0,1,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,1
wikiwiki.jp,0,1,0,0,0,0,0,1,0,0,1,0,21,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,62,5,0,0,0,0,1
olx.ua,0,1,0,0,0,0,0,1,1,1,1,0,12,0,0,0,0,0,1
cheezburger.com,0,1,0,0,0,0,0,1,6,2,1,0,0,0,0,0,0,0,1
buzzfil.net,0,1,0,0,0,0,0,1,19,1,2,0,0,0,0,0,0,0,1
telegraf.com.ua,0,1,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,1
olx.ua,0,1,0,0,0,0,0,1,1,1,1,0,12,0,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
500px.com,0,1,0,1,0,0,0,1,5,2,1,0,0,0,0,0,0,0,1
pornsharing.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
olx.ro,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
tinnhanh360.net,0,1,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,1
momoshop.com.tw,0,1,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,4,0,1,0,46,0,0,0,0,0,1
sfglobe.com,0,1,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
abc.go.com,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1
olx.ua,0,1,0,0,0,0,0,0,2,0,1,0,32,0,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
icicibank.com,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
kakaku.com,0,1,0,0,0,0,0,1,0,3,1,0,7,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
akhbarelyom.com,0,1,0,0,0,0,0,0,1,0,2,0,22,0,0,0,0,0,1
myegy.to,0,1,0,0,0,0,0,0,0,0,1,0,72,0,0,0,0,0,1
lifehacker.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
uproxx.com,0,1,0,1,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,11,0,1,0,108,0,0,0,0,0,1
jalopnik.com,0,1,0,0,0,0,0,1,6,3,1,0,0,0,0,0,0,0,1
codecanyon.net,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,1,9,3,3,0,6,0,0,0,0,0,1
stackoverflow.com,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
xossip.com,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
otomoto.pl,0,1,0,0,0,0,0,1,4,1,1,0,4,0,0,0,0,0,1
qz.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
udn.com,0,1,0,0,0,0,0,0,2,0,1,0,48,0,0,0,0,0,1
otomoto.pl,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
allrecipes.com,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1
elitedaily.com,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
mediaset.it,0,1,0,0,0,0,0,1,6,1,2,0,0,0,0,0,0,0,1
fc2.com,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,1
thechive.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
kienthuc.net.vn,0,1,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,1
themeforest.net,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
zozo.jp,0,1,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,1,0,1,0,20,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,0,0,2,0,11,12,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
